;PROFILE_NAME;REGION;MASTER_POLLUTANT;CATEGORY_LEVEL_1_Generation_Mechanism;CATEGORY_LEVEL_2_Sector_Equipment;CATEGORY_LEVEL_3_ Fuel_Product;SPECIES_NAME;WEIGHT_PERCENT
293;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Sulfate;5.046
297;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Vanadium;0.058
301;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Zinc;2.218
303;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Ammonium;0.023
306;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Elemental Carbon;3.259
315;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Antimony;0.809
316;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Arsenic;1.41
317;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Barium;0.042
318;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Cadmium;0.385
319;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Calcium;2.399
320;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Chromium;0.086
322;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Copper;1.057
325;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Nickel;0.119
328;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Nitrate;0.124
332;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Manganese;0.33
333;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Magnesium;0.362
334;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Lead;3.303
337;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Organic carbon;7.337
338;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Vanadium;0.061
342;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Sulfate;5.514
346;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Zinc;2.233
351;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Ammonium;0.022
354;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Elemental Carbon;4.406
362;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Arsenic;1.476
365;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Antimony;0.765
366;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Barium;0.052
367;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Cadmium;0.421
368;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Calcium;2.614
369;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Chromium;0.103
371;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Copper;1.056
375;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Organic carbon;8.768
377;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Lead;3.382
378;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Magnesium;0.389
379;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Manganese;0.337
382;Overall Composite;;PM;Miscellaneous;Miscellaneous;Miscellaneous;Nickel;0.126
